Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-12-03,1984.0,1990.0,1968.3,1984.0,1982.4,1610576.0,31868.0
2018-12-04,1983.0,2019.4,1971.0,2009.85,2010.85,3270615.0,65568.23
2018-12-05,2006.0,2018.0,1985.0,2003.9,2006.75,2501539.0,50131.23
2018-12-06,1998.0,2017.0,1979.6,1990.0,1992.7,2321216.0,46373.71
2018-12-07,1985.05,2003.9,1973.0,1999.85,1995.2,1680420.0,33463.26
2018-12-10,1975.0,2011.0,1960.0,1961.0,1975.8,2010786.0,39990.73
2018-12-11,1970.0,2010.0,1961.0,1997.05,2000.0,2942014.0,58636.26
2018-12-12,2001.1,2022.0,1984.95,2016.5,2016.8,2219993.0,44663.42
2018-12-13,2024.0,2029.7,1974.5,1981.95,1982.6,3748429.0,74802.38
2018-12-14,1983.0,1998.95,1975.25,1989.0,1989.75,2473761.0,49094.42
2018-12-17,1999.0,2004.9,1985.0,1992.9,1994.3,1227921.0,24482.95
2018-12-18,1991.9,2002.0,1976.4,1987.9,1987.85,1768742.0,35137.11
2018-12-19,1984.8,1984.8,1960.05,1970.8,1968.45,2498833.0,49198.05
2018-12-20,1953.8,1974.9,1946.0,1955.0,1954.05,1940277.0,37945.1
2018-12-21,1948.0,1950.0,1886.55,1905.0,1895.8,3729956.0,71360.52
2018-12-24,1905.8,1938.9,1905.0,1922.0,1918.5,1864116.0,35878.57
2018-12-26,1921.8,1921.8,1870.25,1892.0,1889.2,2446614.0,46112.98
2018-12-27,1909.0,1941.7,1872.1,1909.1,1908.95,4968201.0,95411.46
2018-12-28,1915.0,1920.0,1893.0,1897.0,1896.05,2239130.0,42708.38
2018-12-31,1908.0,1909.0,1886.15,1894.75,1893.05,1879740.0,35647.72
